i_,i0_,name,mult,inchi,path
0,0,AR,1,InChI=1S/Ar,
1,1,N2,1,InChI=1S/N2/c1-2,SPC/N2/IJGRMHOSHXDMSA/1/UHFFFAOY
2,2,HE,1,InChI=1S/He,SPC/He/SWQJXJOGLNCZEY/1/UHFFFAOY
3,3,H2,1,InChI=1S/H2/h1H,SPC/H2/UFHFLCQGNIYNRP/1/UHFFFAOY
4,4,H,2,InChI=1S/H,SPC/H/YZCKVEUIGOORGS/2/UHFFFAOY
5,5,O2,3,InChI=1S/O2/c1-2,SPC/O2/MYMOFIZGZYHOMD/3/UHFFFAOY
6,6,O,3,InChI=1S/O,
7,7,H2O,1,InChI=1S/H2O/h1H2,SPC/H2O/XLYOFNOQVPJJNP/1/UHFFFAOY
8,8,OH,2,InChI=1S/HO/h1H,
9,9,H2O2,1,InChI=1S/H2O2/c1-2/h1-2H,SPC/H2O2/MHAJPDPJQMAIIY/1/UHFFFAOY
10,10,HO2,2,InChI=1S/HO2/c1-2/h1H,
11,11,CO,1,InChI=1S/CO/c1-2,
12,12,CO2,1,InChI=1S/CO2/c2-1-3,
13,13,HOCO,2,"InChI=1S/CHO2/c2-1-3/h(H,2,3)",
14,14,CH4,1,InChI=1S/CH4/h1H4,
15,15,CH3,2,InChI=1S/CH3/h1H3,
16,16,CH2,3,InChI=1S/CH2/h1H2,
17,17,CH2(S),1,InChI=1S/CH2/h1H2,
18,18,C,3,InChI=1S/CH2/h1H2,
19,19,CH,2,InChI=1S/CH3/h1H3,
20,20,CH3O2H,1,"InChI=1S/CH4O2/c1-3-2/h2H,1H3",
21,21,CH3O2,2,InChI=1S/CH3O2/c1-3-2/h1H3,
22,22,CH2O2H,2,"InChI=1S/CH3O2/c1-3-2/h2H,1H2",
23,23,CH3OH,1,"InChI=1S/CH4O/c1-2/h2H,1H3",
24,24,CH3O,2,InChI=1S/CH3O/c1-2/h1H3,
25,25,CH2OH,2,"InChI=1S/CH3O/c1-2/h2H,1H2",
26,26,CH2O,1,InChI=1S/CH2O/c1-2/h1H2,
27,27,HCO,2,InChI=1S/CHO/c1-2/h1H,
28,28,HCOH,1,InChI=1S/CH2O/c1-2/h1-2H,
29,29,HO2CHO,1,"InChI=1S/CH2O3/c2-1-4-3/h1,3H",
30,30,HOCH2O2H,1,"InChI=1S/CH4O3/c2-1-4-3/h2-3H,1H2",
31,31,HOCH2O2,2,"InChI=1S/CH3O3/c2-1-4-3/h2H,1H2",
32,32,OCH2O2H,2,"InChI=1S/CH3O3/c2-1-4-3/h3H,1H2",
33,33,HOCH2O,2,"InChI=1S/CH3O2/c2-1-3/h2H,1H2",
34,34,O2CHO,2,InChI=1S/CHO3/c2-1-4-3/h1H,
35,35,HOCHO,1,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",
36,36,OCHO,2,InChI=1S/CHO2/c2-1-3/h1H,
37,37,C2H6,1,InChI=1S/C2H6/c1-2/h1-2H3,
38,38,C2H5,2,"InChI=1S/C2H5/c1-2/h1H2,2H3",
39,39,C2H5O2H,1,"InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3",
40,40,C2H5O2,2,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",
41,41,C2H4,1,InChI=1S/C2H4/c1-2/h1-2H2,
42,42,C2H3,2,"InChI=1S/C2H3/c1-2/h1H,2H2",
43,43,CHOCHO,1,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,
44,44,C2H3OOH,1,"InChI=1S/C2H4O2/c1-2-4-3/h2-3H,1H2",
45,45,C2H3OO,2,"InChI=1S/C2H3O2/c1-2-4-3/h2H,1H2",
46,46,CHCHO,3,"InChI=1S/C2H4O/c1-2-3/h1,3H,2H2",
47,47,C2H2,1,InChI=1S/C2H2/c1-2/h1-2H,
48,48,C2H,2,InChI=1S/C2H/c1-2/h1H,
49,49,H2CC,1,InChI=1S/C2H2/c1-2/h1H2,
50,50,C2H5OH,1,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",
51,51,C2H5O,2,"InChI=1S/C2H5O/c1-2-3/h2H2,1H3",
52,52,PC2H4OH,2,"InChI=1S/C2H5O/c1-2-3/h3H,1-2H2",
53,53,SC2H4OH,2,"InChI=1S/C2H5O/c1-2-3/h2-3H,1H3",
54,54,O2C2H4OH,2,"InChI=1S/C2H5O3/c3-1-2-5-4/h3H,1-2H2",
55,55,C2H4O2H,2,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2",
56,56,C2H4O1-2,1,InChI=1S/C2H4O/c1-2-3-1/h1-2H2,
57,57,C2H3O1-2,2,"InChI=1S/C2H3O/c1-2-3-1/h1H,2H2",
58,58,CH3CHO,1,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",
59,59,CH3CO,2,InChI=1S/C2H3O/c1-2-3/h1H3,
60,60,CH2CHO,2,"InChI=1S/C2H3O/c1-2-3/h2H,1H2",
61,61,O2CH2CHO,2,"InChI=1S/C2H3O3/c3-1-2-5-4/h1H,2H2",
